company_id,company_name,year,cash_dividend,cash_dividend_new
2489,瑞軒,2020,0.13146157,0.3212386667728424
2491,吉祥全,2020,0.4,0.8905558586120605
2492,華新科,2020,6.0123848,6.449190616607666
2493,揚博,2020,2.5,2.3114497661590576
2495,普安,2020,0.3,0.10193217545747757
2496,卓越,2020,4.52042894,4.307028293609619
2497,怡利電,2020,0.0,-0.004076768644154072
2498,宏達電,2020,0.0,0.05656689405441284
2501,國建,2020,1.0,0.9456281661987305
2504,國產,2020,1.5,1.0222344398498535
2505,國揚,2020,2.5,2.5164144039154053
2506,太設,2020,0.4,0.10857363790273666
2509,全坤建,2020,1.5,1.4144076108932495
2511,太子,2020,0.4,0.37148135900497437
2514,龍邦,2020,0.0,1.6596055030822754
2515,中工,2020,0.233,0.2362091988325119
2516,新建,2020,0.0,0.11918599903583527
2520,冠德,2020,2.4,2.575390100479126
2524,京城,2020,0.0,2.228510618209839
2527,宏璟,2020,1.4,1.1780586242675781
2528,皇普,2020,0.0,0.027785219252109528
2530,華建,2020,0.0,0.06444521993398666
2534,宏盛,2020,1.0,0.927578330039978
2535,達欣工,2020,2.50826908,2.596526622772217
2536,宏普,2020,1.2,1.2367970943450928
2537,聯上發,2020,0.4,0.3586660325527191
2538,基泰,2020,0.5,0.37940502166748047
2539,櫻花建,2020,0.2,0.6850159764289856
2540,愛山林,2020,1.0,1.7542448043823242
2542,興富發,2020,2.0,1.6419020891189575
2543,皇昌,2020,0.0,0.00818982720375061
2545,皇翔,2020,4.5,2.1684629917144775
2546,根基,2020,3.6,3.73252010345459
2547,日勝生,2020,0.62,0.5797266364097595
2548,華固,2020,7.0,6.863759517669678
2596,綠意,2020,1.2,1.2354047298431396
2597,潤弘,2020,6.5,5.1026434898376465
2601,益航,2020,0.0,0.05987921357154846
2603,長榮,2020,2.48660241,3.5636847019195557
2605,新興,2020,0.5,0.5447231531143188
2606,裕民,2020,1.2,1.2215760946273804
2607,榮運,2020,0.3,0.2904944121837616
2608,嘉里大榮,2020,1.68,1.6007821559906006
2609,陽明,2020,0.0,0.09066928178071976
2610,華航,2020,0.0,0.2059260755777359
2611,志信,2020,0.0,0.02075604721903801
2612,中航,2020,1.6,1.378648042678833
2613,中櫃,2020,0.2,0.18296289443969727
2614,東森,2020,0.8,0.6263689398765564
2615,萬海,2020,1.0,1.343213438987732
2616,山隆,2020,2.2,2.0993010997772217
2617,台航,2020,0.9,0.8524790406227112
2618,長榮航,2020,0.0,0.03356197848916054
2630,亞航,2020,0.15,0.18048959970474243
2633,台灣高鐵,2020,1.05,0.6913787722587585
2634,漢翔,2020,0.2,0.3092449903488159
2636,台驊投控,2020,3.2,3.157121419906616
2637,慧洋-KY,2020,1.5,1.4433711767196655
2640,大車隊,2020,3.9,3.265878915786743
2641,正德,2020,0.0,0.021129772067070007
2642,宅配通,2020,1.8,1.5565876960754395
2643,捷迅,2020,4.0,3.923959493637085
2701,萬企,2020,0.25,0.20423603057861328
2702,華園,2020,0.0,0.033352240920066833
2704,國賓,2020,0.0,0.5299250483512878
2705,六福,2020,0.0,0.022311385720968246
2706,第一店,2020,0.15,0.3828784227371216
2707,晶華,2020,4.38912,4.448384761810303
2712,遠雄來,2020,0.7,0.837248682975769
2718,晶悅,2020,0.0,0.0782046765089035
2719,燦星旅,2020,0.0,0.006266663316637278
2722,夏都,2020,0.5,0.58582603931427
2723,美食-KY,2020,4.0,2.615671157836914
2724,富驛-KY,2020,0.0,0.0008962777210399508
2726,雅茗-KY,2020,0.50004204,0.4764358699321747
2727,王品,2020,4.3040913,4.218677997589111
2729,瓦城,2020,14.5,7.772955417633057
2731,雄獅,2020,0.0,0.1340152770280838
2732,六角,2020,2.98409631,2.8180034160614014
2734,易飛網,2020,0.0,-0.0011752211721614003
2736,高野,2020,0.2,0.20516394078731537
2739,寒舍,2020,0.0,0.03822311758995056
2740,天蔥,2020,0.0,-0.006024833768606186
2743,山富,2020,0.0,0.17725588381290436
2745,五福,2020,0.0,-0.01111743226647377
2748,雲品,2020,1.0,1.073391318321228
2752,豆府,2020,9.0,8.854229927062988
2754,亞洲藏壽司,2020,0.5,0.5146973729133606
2755,揚秦,2020,2.0,1.9175841808319092
2801,彰銀,2020,0.36,0.3698844015598297
2809,京城銀,2020,1.8,1.6611632108688354
2812,台中銀,2020,0.24,0.2561228275299072
2816,旺旺保,2020,0.8,0.7223505973815918
2820,華票,2020,0.87,0.7252196073532104
2823,中壽,2020,0.4,0.5139676928520203
2832,台產,2020,1.1,1.0810515880584717
2834,臺企銀,2020,0.1,0.2492617666721344
2836,高雄銀,2020,0.3,0.23417221009731293
2838,聯邦銀,2020,0.0,0.10475258529186249
2841,台開,2020,0.0,0.08182170987129211
2845,遠東銀,2020,0.326,0.33476993441581726
2849,安泰銀,2020,0.73,0.720248818397522
2850,新產,2020,1.95,2.244894027709961
2851,中再保,2020,1.3,1.4352658987045288
2852,第一保,2020,0.35,0.34350910782814026
2855,統一證,2020,1.5,1.532052755355835
2867,三商壽,2020,0.0,0.12167181819677353
2880,華南金,2020,0.265,0.38784903287887573
2881,富邦金,2020,3.0,3.005641222000122
2882,國泰金,2020,2.5,2.303621768951416
2883,開發金,2020,0.54973791,0.5075290203094482
2884,玉山金,2020,0.61,0.6089057922363281
2885,元大金,2020,1.2,1.0182260274887085
2886,兆豐金,2020,1.58,1.161643385887146
2887,台新金,2020,0.55521108,0.5199402570724487
2888,新光金,2020,0.40014149,0.5024946331977844
2889,國票金,2020,0.65,0.6153311729431152
2890,永豐金,2020,0.7,0.5383140444755554
2891,中信金,2020,1.05,1.1047911643981934
2892,第一金,2020,0.9,0.7546491622924805
2897,王道銀行,2020,0.2,0.2833141088485718
2901,欣欣,2020,0.1754967,0.13795016705989838
2903,遠百,2020,1.1,1.2749723196029663
2904,匯僑,2020,2.0,2.0247926712036133
2905,三商,2020,1.0,0.978129506111145
2906,高林,2020,0.3,0.3279264569282532
2908,特力,2020,1.07,0.9535943865776062
2910,統領,2020,0.5,0.5099515318870544
2911,麗嬰房,2020,0.0,-0.016035309061408043
2912,統一超,2020,9.0,8.53729248046875
2913,農林,2020,0.0,0.08547639101743698
2915,潤泰全,2020,2.0,7.34639310836792
2916,滿心,2020,1.5,1.0330997705459595
2923,鼎固-KY,2020,1.2,0.7593422532081604
2924,東凌-KY,2020,0.0,0.011407953687012196
2926,誠品生活,2020,0.84,0.8463144302368164
2928,紅馬-KY,2020,0.0,0.003000339027494192
2929,淘帝-KY,2020,0.0,-0.011070575565099716
2936,客思達-KY,2020,0.0,1.3383654356002808
2937,集雅社,2020,1.2,1.4342210292816162
2939,凱羿-KY,2020,2.0,0.25181150436401367
3002,歐格,2020,0.102,0.21624839305877686
3003,健和興,2020,1.2,1.5351756811141968
3004,豐達科,2020,0.5,0.8824273347854614
3005,神基,2020,3.58708898,3.3459410667419434
3006,晶豪科,2020,2.0,2.110588312149048
3008,大立光,2020,91.5,90.2331771850586
3010,華立,2020,4.4,4.457698345184326
3011,今皓,2020,0.0,0.012339127250015736
3013,晟銘電,2020,0.3,0.3015095293521881
3014,聯陽,2020,6.0,5.5794501304626465
3015,全漢,2020,3.0,3.0354082584381104
3016,嘉晶,2020,0.24955765,0.1403713822364807
3017,奇鋐,2020,2.8,2.796231508255005
3018,同開,2020,0.0,0.000664368097204715
3019,亞光,2020,1.0,1.0553762912750244
